contrast,Estimate,Std.error,z.value,adj.pvalue,z.ratio,Genes,p.adjust.fdr,adj.pvalue.round
Sexmale:Statussub,0.5160399597059581,0.13034222440208715,3.9591157974567666,4.346311914612544e-4,NA,Ar,0.001629866967979704,0.0016
female.dom.data - female.sub.data,0.163113234511415,0.10521758046209173,NA,0.4074287801170351,1.550246962485344,Ar,NA,0.4074
female.dom.data - male.dom.data,-0.03316177744881505,0.07807807084731999,NA,0.9742684394762726,-0.4247258812741698,Ar,NA,0.9743
female.dom.data - male.sub.data,-0.3860885026433585,0.0765306950583081,NA,2.7085113474267786e-6,-5.044884308827991,Ar,NA,0
female.sub.data - male.dom.data,-0.19627501196023003,0.10550899571115388,NA,0.24535302149169325,-1.860268033424953,Ar,NA,0.2454
female.sub.data - male.sub.data,-0.5492017371547735,0.10436910613225024,NA,8.51484880382003e-7,-5.262110192443903,Ar,NA,0
male.dom.data - male.sub.data,-0.35292672519454343,0.07693085352306504,NA,2.6589160214363083e-5,-4.587583642091409,Ar,NA,0
(Intercept),-2.489152940669451,0.06788539234303953,-36.6669890937836,0,NA,Pgr,NA,0
Sexmale,0.3683799801078589,0.09041631937692472,4.074264277139704,2.5189017069116026e-4,NA,Pgr,0.0010778272769368885,0.0011
Statussub,-0.06510112767533806,0.126782704712641,-0.5134858719325546,0.9339726012777927,NA,Pgr,0.9661907535244809,0.9662
Sexmale:Statussub,0.26552443616115157,0.15250388032252996,1.7410995418581796,0.21214635484044964,NA,Pgr,0.32091317669667807,0.3209
female.dom.data - female.sub.data,0.06510112767533746,0.12678270471264103,NA,0.9559033339165577,0.5134858719325498,Pgr,NA,0.9559
female.dom.data - male.dom.data,-0.36837998010785966,0.09041631937692476,NA,2.6956745576767194e-4,-4.0742642771397115,Pgr,NA,3e-4
female.dom.data - male.sub.data,-0.5688032885936731,0.09069355807686998,NA,2.141781973996615e-9,-6.2717055175139045,Pgr,NA,0
female.sub.data - male.dom.data,-0.43348110778319715,0.12260551389226328,NA,0.0023001447760132576,-3.5355759624653467,Pgr,NA,0.0023
female.sub.data - male.sub.data,-0.6339044162690106,0.12281010831262422,NA,1.4623948898506711e-6,-5.161663196773263,Pgr,NA,0
male.dom.data - male.sub.data,-0.20042330848581347,0.0847559986029061,NA,0.08398608760516257,-2.3647094222183043,Pgr,NA,0.084
(Intercept),-2.0112129794548097,0.055965316994764557,-35.936774549904804,0,NA,Nr3c1,NA,0
Sexmale,-0.1605038383341967,0.08273686753427556,-1.9399312920289673,0.1487477180023914,NA,Nr3c1,0.27890197125448385,0.2789
Statussub,-0.09792506757887799,0.1052848539286629,-0.9300964376626136,0.7115424135557448,NA,Nr3c1,0.821392746595146,0.8214
Sexmale:Statussub,0.3990023641024373,0.13522075934863628,2.9507478439290487,0.010580178744658664,NA,Nr3c1,0.023009862648485844,0.023
female.dom.data - female.sub.data,0.09792506757887742,0.10528485392866288,NA,0.7886949897233295,0.9300964376626084,Nr3c1,NA,0.7887
female.dom.data - male.dom.data,0.1605038383341961,0.08273686753427556,NA,0.21134889495173503,1.93993129202896,Nr3c1,NA,0.2113
female.dom.data - male.sub.data,-0.14057345818936318,0.0813547629540313,NA,0.3090766214385269,-1.7279069237629372,Nr3c1,NA,0.3091
female.sub.data - male.dom.data,0.06257877075531867,0.10800951950413988,NA,0.9383021660870439,0.5793819937595417,Nr3c1,NA,0.9383
female.sub.data - male.sub.data,-0.2384985257682406,0.10695449737826612,NA,0.11517952111214047,-2.229906470643703,Nr3c1,NA,0.1152
male.dom.data - male.sub.data,-0.3010772965235593,0.08485135998934794,NA,0.002194194714303932,-3.548290758820553,Nr3c1,NA,0.0022
(Intercept),-1.3708782343136383,0.04493480502020199,-30.508160293503284,0,NA,Nr3c2,NA,0
Sexmale,0.1110853598900123,0.063246936289572675,1.756375350442494,0.2137239111468452,NA,Nr3c2,0.32091317669667807,0.3209
Statussub,-0.40308717111394826,0.0905969539133163,-4.449235362809487,1.853909854188096e-5,NA,Nr3c2,1.6976587352890427e-4,2e-4
Sexmale:Statussub,0.34086881032975747,0.11231776506088494,3.0348610493182457,0.008008849813331942,NA,Nr3c2,0.020022124533329855,0.02
female.dom.data - female.sub.data,0.4030871711139482,0.09059695391331635,NA,5.0943329686359284e-5,4.4492353628094845,Nr3c2,NA,1e-4
female.dom.data - male.dom.data,-0.11108535989001289,0.0632469362895727,NA,0.2946319876061039,-1.7563753504425026,Nr3c2,NA,0.2946
female.dom.data - male.sub.data,-0.048866999105821915,0.06667511338040946,NA,0.8838894287164487,-0.7329121261034114,Nr3c2,NA,0.8839
female.sub.data - male.dom.data,-0.5141725310039611,0.0903864459085636,NA,7.673433088939419e-8,-5.688602155284504,Nr3c2,NA,0
female.sub.data - male.sub.data,-0.45195417021977013,0.09281759207313493,NA,6.672244731165122e-6,-4.8692727329497645,Nr3c2,NA,0
male.dom.data - male.sub.data,0.062218360784190976,0.0663887964185267,NA,0.784824082748921,0.9371816351655999,Nr3c2,NA,0.7848
(Intercept),-2.313754367819172,0.06309899303678969,-36.66864170827804,0,NA,Esr1,NA,0
