Gene,RRquadrant,Sample
Aldh1a1,downdown,neuron_cluster_11
Zfp521,downdown,neuron_cluster_11
Kif13b,downdown,neuron_cluster_11
Ypel2,downdown,neuron_cluster_11
Gm42439,downdown,neuron_cluster_11
Arap2,downdown,neuron_cluster_11
Gm14858,downdown,neuron_cluster_11
Prrx1,downdown,neuron_cluster_11
Ipcef1,downdown,neuron_cluster_11
4930445B16Rik,downdown,neuron_cluster_11
Nav2,downdown,neuron_cluster_11
Gm37459,downdown,neuron_cluster_11
Cntnap4,downdown,neuron_cluster_11
Sorcs1,downdown,neuron_cluster_11
Dlgap2,downdown,neuron_cluster_11
Myl9,downdown,neuron_cluster_11
Ndst4,downdown,neuron_cluster_11
Tmem132cos,downdown,neuron_cluster_11
Nkain2,downdown,neuron_cluster_11
Rarb,downdown,neuron_cluster_11
Gm973,downdown,neuron_cluster_11
Slc7a10,downdown,neuron_cluster_11
Foxp2,downdown,neuron_cluster_11
Cnksr2,downdown,neuron_cluster_11
Nell1os,downdown,neuron_cluster_11
Gm15680,downdown,neuron_cluster_11
Cdh18,downdown,neuron_cluster_11
Sash1,downdown,neuron_cluster_11
Tnfaip8,downdown,neuron_cluster_11
A330008L17Rik,downdown,neuron_cluster_11
Tspan2,downdown,neuron_cluster_11
Nlgn1,downdown,neuron_cluster_11
Igfbp7,downdown,neuron_cluster_11
Ammecr1,downdown,neuron_cluster_11
Gpcpd1,downdown,neuron_cluster_11
Ermn,downdown,neuron_cluster_11
Gm35188,downdown,neuron_cluster_11
Htr2c,downdown,neuron_cluster_11
Abcc4,downdown,neuron_cluster_11
Cdk19,downdown,neuron_cluster_11
Trps1,downdown,neuron_cluster_11
Map7,downdown,neuron_cluster_11
Tshz2,downdown,neuron_cluster_11
Chrm2,downdown,neuron_cluster_11
Sh3d19,downdown,neuron_cluster_11
9330175M20Rik,downdown,neuron_cluster_11
March1,downdown,neuron_cluster_11
Cntnap5c,downdown,neuron_cluster_11
Gm3764,downdown,neuron_cluster_11
Clstn2,downdown,neuron_cluster_11
Grm5,downdown,neuron_cluster_11
Epb41l2,downdown,neuron_cluster_11
Gpc5,downdown,neuron_cluster_11
Nfasc,downdown,neuron_cluster_11
St6galnac3,downdown,neuron_cluster_11
Alk,downdown,neuron_cluster_11
Sytl2,downdown,neuron_cluster_11
Gpc3,downdown,neuron_cluster_11
Thsd7a,downdown,neuron_cluster_11
Lypd6,downdown,neuron_cluster_11
Pde8a,downdown,neuron_cluster_11
Syt10,downdown,neuron_cluster_11
Aff2,downdown,neuron_cluster_11
Pbx3,downdown,neuron_cluster_11
Phkg1,downdown,neuron_cluster_11
Adamtsl1,downdown,neuron_cluster_11
Arhgap24,downdown,neuron_cluster_11
Rapgef5,downdown,neuron_cluster_11
Slco1c1,downdown,neuron_cluster_11
Grm7,downdown,neuron_cluster_11
Sorbs2os,downdown,neuron_cluster_11
Arsb,downdown,neuron_cluster_11
Gm4876,downdown,neuron_cluster_11
Ctss,downdown,neuron_cluster_11
Gm31356,downdown,neuron_cluster_11
Mcc,downdown,neuron_cluster_11
Uty,downdown,neuron_cluster_11
Tmem132c,downdown,neuron_cluster_11
Bcas1,downdown,neuron_cluster_11
Frmd4b,downdown,neuron_cluster_11
Stxbp6,downdown,neuron_cluster_11
Ctnnd2,downdown,neuron_cluster_11
4930419G24Rik,downdown,neuron_cluster_11
Slc1a3,downdown,neuron_cluster_11
Hs3st5,downdown,neuron_cluster_11
Ednrb,downdown,neuron_cluster_11
Sorcs2,downdown,neuron_cluster_11
Dnah6,downdown,neuron_cluster_11
4930473D10Rik,downdown,neuron_cluster_11
9530026P05Rik,downdown,neuron_cluster_11
Ube2cbp,downdown,neuron_cluster_11
Cntnap5a,downdown,neuron_cluster_11
Arhgap6,downdown,neuron_cluster_11
Arhgap29,downdown,neuron_cluster_11
Rora,downdown,neuron_cluster_11
Frmd4a,downdown,neuron_cluster_11
4930567K20Rik,downdown,neuron_cluster_11
Nckap5,downdown,neuron_cluster_11
4930587E11Rik,downdown,neuron_cluster_11
Unc5c,downdown,neuron_cluster_11
Klhl29,downdown,neuron_cluster_11
Glis3,downdown,neuron_cluster_11
Kcnh7,downdown,neuron_cluster_11
Lrig1,downdown,neuron_cluster_11
Dpyd,downdown,neuron_cluster_11
Cxcl12,updown,neuron_cluster_11
Apod,updown,neuron_cluster_11
Slc1a2,updown,neuron_cluster_11
Hs3st2,updown,neuron_cluster_11
mt-Co3,updown,neuron_cluster_11
Ryr3,updown,neuron_cluster_11
Tm4sf1,updown,neuron_cluster_11
Kcnq5,updown,neuron_cluster_11
Nxpe2,updown,neuron_cluster_11
Kitl,updown,neuron_cluster_11
Il1rapl2,updown,neuron_cluster_11
Astn2,updown,neuron_cluster_11
Fanca,updown,neuron_cluster_11
Cacna2d3,updown,neuron_cluster_11
Bmpr1b,updown,neuron_cluster_11
Ano1,updown,neuron_cluster_11
Epas1,updown,neuron_cluster_11
Daam2,updown,neuron_cluster_11
Galnt13,updown,neuron_cluster_11
Rmst,updown,neuron_cluster_11
Mitf,updown,neuron_cluster_11
Siah1b,updown,neuron_cluster_11
Litaf,updown,neuron_cluster_11
Gm17102,updown,neuron_cluster_11
Mbp,updown,neuron_cluster_11
Gm26512,updown,neuron_cluster_11
Col11a1,updown,neuron_cluster_11
Spata17,updown,neuron_cluster_11
Ttc30a1,updown,neuron_cluster_11
Sec14l5,updown,neuron_cluster_11
Fam135b,updown,neuron_cluster_11
Omd,updown,neuron_cluster_11
Spef2,updown,neuron_cluster_11
Csgalnact1,updown,neuron_cluster_11
Gm6145,updown,neuron_cluster_11
Tcf7l2,updown,neuron_cluster_11
Eps8l3,updown,neuron_cluster_11
4930428E07Rik,updown,neuron_cluster_11
Gpr17,updown,neuron_cluster_11
Efna5,updown,neuron_cluster_11
Zfp69,updown,neuron_cluster_11
A330015K06Rik,updown,neuron_cluster_11
Malrd1,updown,neuron_cluster_11
Hs6st2,updown,neuron_cluster_11
Adcy2,updown,neuron_cluster_11
Pde7b,updown,neuron_cluster_11
Nell1,updown,neuron_cluster_11
Plce1,updown,neuron_cluster_11
Synpr,updown,neuron_cluster_11
Gm12132,updown,neuron_cluster_11
Zbtb3,updown,neuron_cluster_11
Itga9,updown,neuron_cluster_11
Otx2os1,updown,neuron_cluster_11
Plp1,updown,neuron_cluster_11
Gm49171,updown,neuron_cluster_11
Myo1f,updown,neuron_cluster_11
Abcg2,updown,neuron_cluster_11
Npas3,updown,neuron_cluster_11
Gm11775,updown,neuron_cluster_11
Myh11,updown,neuron_cluster_11
Lrfn5,updown,neuron_cluster_11
Rgs6,updown,neuron_cluster_11
Adgrv1,updown,neuron_cluster_11
Mctp1,updown,neuron_cluster_11
Kctd8,updown,neuron_cluster_11
Arhgap15,updown,neuron_cluster_11
Ano4,updown,neuron_cluster_11
Adamtsl3,updown,neuron_cluster_11
A830008E24Rik,updown,neuron_cluster_11
9630013A20Rik,updown,neuron_cluster_11
Mhrt,updown,neuron_cluster_11
Lama1,updown,neuron_cluster_11
Prickle2,updown,neuron_cluster_11
Elmo1,updown,neuron_cluster_11
Parp14,updown,neuron_cluster_11
Gm13481,updown,neuron_cluster_11
Msi2,updown,neuron_cluster_11
6330576A10Rik,updown,neuron_cluster_11
Cdh10,updown,neuron_cluster_11
Ptprk,updown,neuron_cluster_11
Gm38505,updown,neuron_cluster_11
Tmc7,updown,neuron_cluster_11
Dtna,updown,neuron_cluster_11
Mobp,updown,neuron_cluster_11
Eps8,updown,neuron_cluster_11
Gabrg3,updown,neuron_cluster_11
Fign,updown,neuron_cluster_11
Tpm2,updown,neuron_cluster_11
4933432K03Rik,updown,neuron_cluster_11
Ptprg,updown,neuron_cluster_11
Pdgfrb,updown,neuron_cluster_11
Adamts2,updown,neuron_cluster_11
2610035D17Rik,updown,neuron_cluster_11
Naaladl2,updown,neuron_cluster_11
Ube3a,updown,neuron_cluster_11
E130114P18Rik,updown,neuron_cluster_11
Gm12296,updown,neuron_cluster_11
Gm13842,updown,neuron_cluster_11
