p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity,n_cells,prop
4.210693623728872e-10,0.2395740681235191,0.225,0.037,9.16583788013301e-6,13,Gm15810,0.005957347508417757,40,0.004089143324473523
4.34357907564396e-10,0.7391427946787417,0.975,0.583,9.455102931861771e-6,13,Grm7,0.005054715787437304,40,0.004089143324473523
6.329961693761742e-10,0.15153147572620224,0.125,0.013,1.377906061498056e-5,13,Gm9925,0.005958018484744437,40,0.004089143324473523
7.312587987805855e-10,0.5342853629576573,0.55,0.186,1.5918041531855784e-5,13,Aopep,0.006460339698474297,40,0.004089143324473523
7.496812560599355e-10,0.21265977125227903,0.125,0.013,1.631906158191268e-5,13,Tshr,0.008361502730772338,40,0.004089143324473523
7.889869676599298e-10,0.33491210950624345,0.25,0.046,1.717466831202135e-5,13,Gm2164,0.007442954439526091,40,0.004089143324473523
8.373184666735814e-10,0.4808693696110237,0.5,0.153,1.822674838255052e-5,13,Cpne4,0.006425960041466368,40,0.004089143324473523
9.676679766953503e-10,0.20523031604066905,0.15,0.018,2.106419651670439e-5,13,Shroom3,0.006993468140144109,40,0.004089143324473523
1.3438537269318634e-9,0.4813985617402409,0.625,0.23,2.9253007927852808e-5,13,Pcdh10,0.005349205747693645,40,0.004089143324473523
1.6972156924841027e-9,0.2826928621435545,0.3,0.064,3.6944991193993945e-5,13,Dock1,0.005418617016143577,40,0.004089143324473523
1.8506177003430267e-9,0.5814373271841511,0.5,0.162,4.028424610106701e-5,13,Thsd7a,0.0073382116205395025,40,0.004089143324473523
1.8660229155911082e-9,0.2178417177935864,0.2,0.032,4.0619586826587234e-5,13,Gm16638,0.005567412538171806,40,0.004089143324473523
1.910134506597248e-9,0.42929143627973826,0.375,0.097,4.157980793960891e-5,13,Lrtm1,0.006786472464885086,40,0.004089143324473523
2.075530089116591e-9,0.2168374051593014,0.2,0.032,4.518013897988996e-5,13,Kirrel,0.0055417451737707355,40,0.004089143324473523
2.434341968320421e-9,0.3122537090440845,0.3,0.066,5.299075596639892e-5,13,Cacna1i,0.005803864408544163,40,0.004089143324473523
3.1540192650646712e-9,0.1816328756316543,0.125,0.014,6.865669136192778e-5,13,Heg1,0.006631454115125971,40,0.004089143324473523
3.182613966054888e-9,0.43803204526185574,0.45,0.137,6.92791408130828e-5,13,Timp4,0.0058834242058729965,40,0.004089143324473523
3.6754926905246222e-9,0.27814881737612296,0.25,0.048,8.000812488733998e-5,13,Mdga1,0.005923908228040511,40,0.004089143324473523
3.902501975021994e-9,0.357811847039905,0.35,0.088,8.494966299227876e-5,13,Sgk1,0.005819322431923512,40,0.004089143324473523
5.183322364437704e-9,0.656228497766175,0.85,0.498,1.1283056122907994e-4,13,Kcnb2,0.004580121533783867,40,0.004089143324473523
5.403966138484673e-9,0.38815263645542064,0.475,0.146,1.1763353490253437e-4,13,Kcnh1,0.0051638738839950606,40,0.004089143324473523
6.0446555626326534e-9,0.7086699918110018,1,0.858,1.3158006228738758e-4,13,Nrxn3,0.0033774512427373706,40,0.004089143324473523
6.362237796247881e-9,0.5374552728744219,0.825,0.382,1.384931923487239e-4,13,Apc,0.00474640995825646,40,0.004089143324473523
7.477905696832167e-9,0.2241705995084223,0.175,0.027,1.627790512086426e-4,13,Pros1,0.0059413518274644885,40,0.004089143324473523
9.581117971720862e-9,0.31841660000970656,0.325,0.079,2.0856177600841967e-4,13,Crtac1,0.005356539394400701,40,0.004089143324473523
9.649466915133336e-9,0.2142580927185874,0.2,0.034,2.1004959580862243e-4,13,Pou3f3,0.005153717938556709,40,0.004089143324473523
1.0472020458200512e-8,-1.0084717545031103,0.45,0.771,2.2795494133410877e-4,13,Magi2,0.0024068787215057365,40,0.004089143324473523
