p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity
1.9013496674050504e-21,0.3820269038896599,0.594,0.389,4.138857956007314e-17,6,Epha6,0.5833521360166014
2.3306604817032616e-21,0.3690333064994855,0.436,0.254,5.07338173657166e-17,6,Grm1,0.633458746589668
2.5972960054943423e-21,0.26240598792091874,0.37,0.192,5.653793944760085e-17,6,8030451O07Rik,0.5056782058892705
3.963573791484452e-21,0.19976447737097627,0.247,0.107,8.627907429303354e-17,6,Rnf152,0.46113855991244057
6.213478941869017e-21,0.16356433763977596,0.179,0.065,1.3525500960660477e-16,6,Ano5,0.4504310221156907
9.201962737781803e-21,0.4880012977715239,0.374,0.211,2.003083248760343e-16,6,Cdh12,0.8649880823059239
2.984897364069896e-20,0.3063504697270375,0.336,0.174,6.49752458210735e-16,6,6330411D24Rik,0.5915733208522105
3.559306266635309e-20,0.364253736744802,0.719,0.527,7.747897881211741e-16,6,Dmd,0.4969609804924338
4.679274301961602e-20,0.35338480171315245,0.862,0.739,1.0185844300510015e-15,6,Dpp6,0.41220256979260816
7.190465868131119e-20,0.4362467613646186,0.745,0.576,1.5652206101747821e-15,6,Grm7,0.5642427729455571
8.945145545756106e-20,0.339281624471222,0.755,0.611,1.9471792824001893e-15,6,Cadps,0.41924325118784395
9.38462712250607e-20,0.34615092967269345,0.579,0.382,2.0428456320271213e-15,6,Kcnh7,0.5246633201059935
9.430787578390408e-20,0.216575062440418,0.228,0.098,2.0528938400640238e-15,6,Man1a,0.5038685126164827
9.503717625536885e-20,0.304394168025167,0.434,0.25,2.068769252726869e-15,6,B230217J21Rik,0.5284282756916899
1.0431841730290065e-19,0.35228636330474894,0.613,0.44,2.2708033078495414e-15,6,Syne1,0.49079895614957064
1.2064881551784446e-19,0.22859490280842565,0.268,0.124,2.626283416192438e-15,6,Gm21798,0.49405995123111357
1.566331281496519e-19,0.2701406270417182,0.466,0.281,3.4095899335616224e-15,6,Chl1,0.4479912177987213
3.4262815597459494e-19,0.43482863497094626,0.881,0.761,7.458329699254982e-15,6,Ptprd,0.5033955682120942
5.788424233745948e-19,0.1260291450366833,0.123,0.039,1.2600241872018181e-14,6,Plpp4,0.39747653434646274
8.710496506080708e-19,0.3429228144330001,0.715,0.529,1.8961008794436483e-14,6,Gabrg3,0.46349680967787343
1.0894979181942375e-18,0.26069898594869834,0.998,0.98,2.371619068325216e-14,6,Snhg11,0.265487334670205
1.5571301355693291e-18,0.30173545414954894,0.898,0.771,3.3895608791073157e-14,6,Ube3a,0.3514376625503177
2.0177570223741837e-18,-0.3252287995132728,0.272,0.471,4.3922534863041234e-14,6,Gad2,-0.18781790545140176
2.4411312859440753e-18,0.27004903944580816,0.372,0.21,5.313854583243063e-14,6,Dscaml1,0.4783725841611459
5.8093493101981095e-18,0.33889361042878696,0.666,0.495,1.2645791578439245e-13,6,Epha5,0.45596594857691336
7.32855664818751e-18,0.23249002676035263,0.268,0.133,1.5952802111774573e-13,6,Slit1,0.4684761441486805
7.69043408590691e-18,0.2560664674652256,0.289,0.146,1.6740536918202162e-13,6,Gm15680,0.506871295188015
7.752428002538806e-18,0.3120862925800368,0.398,0.237,1.6875485275926474e-13,6,Olfm3,0.5240942803664753
8.935230248419386e-18,-0.3407965720291122,1,1,1.9450209204759318e-13,6,Gm42418,-0.3407965720291122
1.0363001028086618e-17,0.16493836606372203,0.24,0.11,2.2558180637938951e-13,6,Slc17a6,0.35986552595721166
1.0694288880149319e-17,0.263313681690428,0.409,0.241,2.3279328034309035e-13,6,Naaladl2,0.44686844735014547
1.3543038744975292e-17,0.2652597507793019,0.368,0.209,2.9480486740062214e-13,6,Zfhx4,0.46706023103723976
1.4198069080331095e-17,0.17014225462830979,0.187,0.077,3.090635677406473e-13,6,4930567K20Rik,0.413202618383038
1.8520708323915045e-17,0.35150848163032966,0.332,0.177,4.031587787949827e-13,6,Tafa1,0.6593266435099969
3.0556819714635327e-17,0.49971592842521984,0.366,0.217,6.651608515481818e-13,6,Nxph1,0.8428388470213385
4.628120603295083e-17,0.4688600124734287,0.451,0.3,1.0074492929252736e-12,6,Gm45321,0.7048528854183879
5.73487786622319e-17,0.3530957811969928,0.791,0.638,1.248368213919464e-12,6,Grik2,0.43777235568467293
5.802343831190406e-17,-0.41884554713447003,0.096,0.265,1.2630542051735276e-12,6,Cacna2d3,-0.15173272650909103
6.636275840269009e-17,0.19620718243115665,1,1,1.4445845249097578e-12,6,Malat1,0.19620718243115665
1.3528918045764434e-16,-0.3419903888868323,0.849,0.914,2.944974880202002e-12,6,Camk1d,-0.3176694093708103
2.504657264688004e-16,0.34798636332423905,0.798,0.643,5.452137933772848e-12,6,Csmd3,0.43187110098404785
2.661787643666879e-16,-0.41239697064166303,0.089,0.252,5.794179342734062e-12,6,Sox2ot,-0.1456481364567778
3.395673733377472e-16,0.24496694443517408,0.417,0.254,7.391702582816081e-12,6,Gabrb2,0.40217014106089605
4.621591612083135e-16,0.18372537476532214,0.2,0.089,1.0060280621182568e-11,6,Gm45341,0.4128660107085891
6.39060441399472e-16,0.29575738130647533,0.866,0.726,1.3911067688383707e-11,6,Frmd4a,0.3527904851396799
8.957987671118675e-16,0.2596155735288429,0.462,0.296,1.9499747562491133e-11,6,Tnr,0.405210793818667
9.698960743067531e-16,0.4940861780017287,0.606,0.448,2.11126977455094e-11,6,Kirrel3,0.6683397854219812
1.5168335784158032e-15,0.33120704955936464,0.766,0.614,3.30184333349552e-11,6,Dcc,0.41319967420598264
1.6767413501279156e-15,0.42644829270482165,0.413,0.263,3.649930570958447e-11,6,Npas3,0.6696697524224005
1.784534266900391e-15,-0.3116636298003015,0.964,0.97,3.884574192188771e-11,6,mt-Co1,-0.3097358135334955
2.0508093870075232e-15,0.26039036315968145,0.477,0.306,4.4642018736379765e-11,6,Cdh8,0.4059026249253858
4.4676668577049426e-15,0.15624886853092262,0.23,0.11,9.725217215852119e-11,6,Adcy8,0.32670217965556547
1.4077857485698995e-14,-0.7402979529586771,0.187,0.345,3.064468017486957e-10,6,Adarb2,-0.401262948415283
1.4192325862635876e-14,0.3010883030043705,0.466,0.309,3.0893854937785774e-10,6,Fstl5,0.4540684440130636
1.491344302077705e-14,0.259768446737235,0.643,0.477,3.246358276762749e-10,6,A230006K03Rik,0.3501700445535474
1.912322752947131e-14,0.2569904480495341,0.513,0.349,4.162744168615315e-10,6,Gm36975,0.3777538677633553
2.2078675391749876e-14,-0.35411171841381073,0.813,0.855,4.806086059276112e-10,6,mt-Nd4,-0.3367167568075183
2.6812834337427786e-14,0.24159428260094218,0.547,0.377,5.83661777857128e-10,6,Brinp3,0.35053600154566417
3.522023378896832e-14,0.267630784339554,0.849,0.696,7.666740491182623e-10,6,Grid2,0.3264634136555767
3.9774252612733933e-14,0.20071217391656176,0.26,0.137,8.658059308739922e-10,6,A330008L17Rik,0.380913614732161
4.1285479397116335e-14,0.19689009208215533,0.183,0.083,8.987023155164284e-10,6,Kcnmb2,0.4341070704943906
4.5268688134091544e-14,0.31234191026178193,0.791,0.644,9.854088033029047e-10,6,Ralyl,0.3836373462997974
5.3553305852614e-14,-0.3368042418378665,0.857,0.895,1.1657483617997016e-9,6,mt-Nd2,-0.32250417346933136
8.493212818283527e-14,-0.32795970831295573,0.962,0.977,1.8488025662839582e-9,6,mt-Atp6,-0.3229245029652645
9.433344023984059e-14,-0.31011712713320705,0.989,0.988,2.05345032714085e-9,6,AY036118,-0.3104310108651232
1.0272463463446073e-13,0.1996227568024032,0.179,0.082,2.236109846722941e-9,6,Gm20754,0.4357618715564655
1.2468192537867808e-13,-0.30679228690713817,0.166,0.33,2.7140761516430646e-9,6,Sorcs1,-0.15432581705025739
1.8067306293650297e-13,0.18974611088776627,0.343,0.203,3.932891234001796e-9,6,Mtus2,0.32060549770691543
1.81915710080893e-13,0.23254289415602947,0.923,0.822,3.959941177040879e-9,6,Fgf14,0.26111568285403314
2.099916405826241e-13,0.2984173059091313,0.668,0.523,4.571098032202561e-9,6,Rora,0.3811525054441677
3.2004430491108e-13,0.1923553195988131,0.279,0.156,6.96672442930439e-9,6,Myo16,0.34402009082095425
3.641805058342764e-13,0.2522110955591528,0.24,0.127,7.927481251000529e-9,6,Chrm2,0.4766193931826509
4.1527671326932355e-13,0.23963907279315966,0.9,0.767,9.039743494446635e-9,6,Syt1,0.2811931753765889
5.020216617123738e-13,-0.2809821162802302,0.991,0.995,1.0928007532154952e-8,6,mt-Co3,-0.279852539933375
6.667547389906366e-13,-0.34506070824514956,0.774,0.832,1.4513917158348177e-8,6,Cmss1,-0.32100599541075214
7.32562911174321e-13,0.20012302784198455,0.564,0.397,1.594642945044262e-8,6,Nav2,0.28430576247576644
7.746890280699277e-13,-0.31447119615697905,0.74,0.817,1.6863430763026187e-8,6,mt-Cytb,-0.2848331519659296
1.0874588569109587e-12,0.12444264102037984,0.166,0.075,2.367180439723775e-8,6,Sfmbt2,0.2754330454584407
1.957867850935824e-12,0.13700540800730202,0.162,0.073,4.2618867379171017e-8,6,4930473D10Rik,0.30403939859154694
1.9743594337334466e-12,0.25724467917846255,0.332,0.203,4.2977856153509664e-8,6,Tmem132d,0.4207154358977811
1.981738010889623e-12,0.2334674308773148,0.947,0.849,4.3138473021045315e-8,6,Dlg2,0.26041655717410733
2.5808936810035525e-12,0.11668564522383489,0.149,0.065,5.618089364808533e-8,6,Igsf21,0.26747940212848303
3.27537975805126e-12,0.18746316489103676,0.379,0.24,7.129846657325982e-8,6,Cdk14,0.2960355812237622
3.394404353006588e-12,0.12537464470523735,0.168,0.078,7.388939395624741e-8,6,2700069I18Rik,0.27003769628820357
4.573493210074063e-12,-0.29053732232125773,0.8,0.85,9.95558001968922e-8,6,Fth1,-0.2734468915964779
5.5310797124190705e-12,0.2727765777575789,0.472,0.332,1.2040054317993834e-7,6,Slc35f1,0.3878028454866784
5.889737271393042e-12,0.1122031855601231,0.14,0.06,1.2820780092368373e-7,6,B130024G19Rik,0.2618074329736206
6.083821127277816e-12,-0.2596985334723629,0.023,0.132,1.324326182985835e-7,6,Gm38505,-0.04525050204442686
6.2864068513190545e-12,-0.25035321218614764,0.083,0.212,1.3684250433951318e-7,6,Tmcc3,-0.09801564439363328
7.653837313141143e-12,0.26914417059269846,0.926,0.825,1.666087306324564e-7,6,Cntnap2,0.30209394178041066
7.927886286654612e-12,0.2684628619858881,0.521,0.377,1.7257422868789759e-7,6,Mir99ahg,0.3710057058213467
8.612751845171007e-12,0.335983935036004,0.477,0.34,1.8748238216568247e-7,6,Egfem1,0.4713656970946291
8.793377787577133e-12,0.24402684422123833,0.709,0.563,1.9141424767997904e-7,6,Rims1,0.3073091164349165
1.4032851391346625e-11,0.23590461976413346,0.645,0.492,3.054671090868333e-7,6,Ncam2,0.3092652027395652
1.716715339705819e-11,0.30229341061174275,0.528,0.393,3.7369459514716266e-7,6,Tenm3,0.4061346585318071
3.4849519516852485e-11,-0.2864062871324635,0.704,0.792,7.586043408428449e-7,6,Hsp90ab1,-0.2545833663399676
3.691690726449137e-11,0.2830442658254828,0.904,0.795,8.036072373334481e-7,6,Fam155a,0.3218515928380333
5.571327984162724e-11,0.2322067178687761,0.721,0.58,1.2127666755925417e-6,6,Grm5,0.2886569716954958
