contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.clusters
female.dom.data - male.dom.data,-0.2019744673590429,0.1049918721271308,-1.9237152673540237,0.218,5
female.dom.data - male.sub.data,0.5572438817964194,0.1338543243445063,4.163062228473233,2e-4,5
female.sub.data - male.dom.data,-0.763460706781118,0.16783642560359002,-4.548837977426443,0,5
female.sub.data - male.sub.data,-0.004242357625655724,0.18725050785606406,-0.022656054043478185,1,5
male.dom.data - male.sub.data,0.7592183491554623,0.13113942545465615,5.789398165527086,0,5
female.dom.data - female.sub.data,-0.1575737694934162,0.18147921449192744,-0.8682744739366579,0.8213,10
female.dom.data - male.dom.data,0.18333046823851276,0.1561096058785753,1.174370194625373,0.6431,10
female.dom.data - male.sub.data,0.03854228914443351,0.15745419749728934,0.2447841325100084,0.9948,10
female.sub.data - male.dom.data,0.34090423773192896,0.1886254170134883,1.8073080665876085,0.2698,10
female.sub.data - male.sub.data,0.1961160586378497,0.18973972490088534,1.0336056866335985,0.7297,10
male.dom.data - male.sub.data,-0.14478817909407926,0.16564017314776255,-0.8741127006968179,0.8183,10
female.dom.data - female.sub.data,-0.12121505540282775,0.11570511492412278,-1.0476205436753447,0.7213,4
female.dom.data - male.dom.data,0.02612397552670498,0.09407477495810865,0.2776937339296102,0.9925,4
female.dom.data - male.sub.data,-0.035467222974026005,0.09702131042925909,-0.3655611619458195,0.9833,4
female.sub.data - male.dom.data,0.1473390309295327,0.11697590395689206,1.2595673634104172,0.5888,4
female.sub.data - male.sub.data,0.08574783242880174,0.11935842450587184,0.7184062020237488,0.8898,4
male.dom.data - male.sub.data,-0.061591198500730984,0.09853336066702602,-0.6250796490019888,0.9241,4
female.dom.data - female.sub.data,-0.6362386774095555,0.21970574516474425,-2.8958672743513287,0.0198,11
female.dom.data - male.dom.data,-0.35484572536985204,0.19208559266564698,-1.8473312883361994,0.2512,11
female.dom.data - male.sub.data,-0.6025931343635709,0.189381137279028,-3.1819068309624194,0.008,11
female.sub.data - male.dom.data,0.2813929520397035,0.20697430551544005,1.3595550005056638,0.5249,11
female.sub.data - male.sub.data,0.03364554304598466,0.204466876023927,0.1645525363337943,0.9984,11
male.dom.data - male.sub.data,-0.24774740899371883,0.1744504624307463,-1.4201590843708431,0.4866,11
female.dom.data - female.sub.data,1.5446899452596154,1.0449870363882023,1.4781905339213972,0.4507,12
female.dom.data - male.dom.data,-1.5098343002558987,0.3359457278398691,-4.494280400480556,0,12
female.dom.data - male.sub.data,2.188643654285172,1.044804677685644,2.0947873808655375,0.1547,12
female.sub.data - male.dom.data,-3.0545242455155144,1.011130459532505,-3.0209002376684113,0.0134,12
female.sub.data - male.sub.data,0.6439537090255567,1.4146172940602548,0.45521407926328367,0.9686,12
male.dom.data - male.sub.data,3.6984779545410706,1.0109419936320871,3.6584472480495855,0.0014,12
female.dom.data - female.sub.data,-0.848911241941994,5660.403988825725,-1.499736138300094e-4,1,13
female.dom.data - male.dom.data,-21.33341892662642,3995.3799329555563,-0.005339521969027151,1,13
female.dom.data - male.sub.data,-0.20805746079944573,5656.5232058894435,-3.678186285575935e-5,1,13
female.sub.data - male.dom.data,-20.484507684684424,4009.6274837872143,-0.00510883062516725,1,13
female.sub.data - male.sub.data,0.6408537811425482,5666.595673668948,1.1309326058331862e-4,1,13
male.dom.data - male.sub.data,21.125361465826973,4004.1471027914813,0.00527587047216609,1,13
