contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.clusters
male.dom.data - male.sub.data,-0.1447881790940808,0.16564017314776242,-0.8741127006968279,0.8183,10
female.dom.data - female.sub.data,-0.6362386774095526,0.21970574516474412,-2.895867274351317,0.0198,11
female.dom.data - male.dom.data,-0.35484572536985015,0.19208559266564681,-1.8473312883361912,0.2512,11
female.dom.data - male.sub.data,-0.6025931343635685,0.18938113727902792,-3.1819068309624083,0.008,11
female.sub.data - male.dom.data,0.2813929520397025,0.2069743055154399,1.3595550005056598,0.5249,11
female.sub.data - male.sub.data,0.033645543045984105,0.20446687602392688,0.16455253633379166,0.9984,11
male.dom.data - male.sub.data,-0.2477474089937184,0.17445046243074622,-1.4201590843708412,0.4866,11
female.dom.data - female.sub.data,1.544689945259614,1.0449870363882026,1.4781905339213954,0.4507,12
female.dom.data - male.dom.data,-1.5098343002559,0.3359457278398687,-4.494280400480565,0,12
female.dom.data - male.sub.data,2.18864365428517,1.0448046776856434,2.094787380865536,0.1547,12
female.sub.data - male.dom.data,-3.054524245515514,1.0111304595325055,-3.0209002376684095,0.0134,12
female.sub.data - male.sub.data,0.643953709025556,1.414617294060255,0.4552140792632831,0.9686,12
male.dom.data - male.sub.data,3.6984779545410698,1.010941993632087,3.658447248049585,0.0014,12
female.dom.data - female.sub.data,-0.8489112204235093,5660.40397296594,-1.4997361044863668e-4,1,13
female.dom.data - male.dom.data,-21.333418905107933,3995.379910486379,-0.005339521993669659,1,13
female.dom.data - male.sub.data,-0.2080574392802378,5656.523190019117,-3.678185915463995e-5,1,13
female.sub.data - male.dom.data,-20.484507684684424,4009.6274837872425,-0.005108830625167215,1,13
female.sub.data - male.sub.data,0.6408537811432715,5666.595673669325,1.1309326058343873e-4,1,13
male.dom.data - male.sub.data,21.125361465827694,4004.1471027919865,0.005275870472165605,1,13
