Predictor,Estimate,Std.error,z.value,p.value,neuron.sub_types,p.adjust.fdr,lwr,upr
StatusSub,0.571312253216139,0.23584588283515243,2.4223965512913583,0.04661713191622252,Hmcn1.GABA_1,0.1399,0.004629740158711537,1.1379947662735663
SexMale:StatusSub,-0.40136198822473335,0.32615777737377083,-1.2305761691672918,0.490591535839509,Hmcn1.GABA_1,0.7359,-1.1850428679311698,0.38231889148170317
SexMale,0.2535584174567608,0.11202092438783257,2.2634915650124885,0.06949675280916434,Lhx6.GABA_1,0.0695,-0.014718230777357844,0.5218350656908795
StatusSub,0.5362159173044142,0.13012637910474026,4.120731868461564,1.4957266469983743e-4,Lhx6.GABA_1,4e-4,0.22457888142173416,0.8478529531870942
SexMale:StatusSub,-0.5857026132847859,0.17232716623685804,-3.3987828273097516,0.0022773639326783,Lhx6.GABA_1,0.0034,-0.9984054615281055,-0.17299976504146625
SexMale,-1.0600104159330057,0.36606670700031935,-2.895675557657531,0.013147698566694621,Fezf1.GLU_3,0.0394,-1.9494951116018915,-0.17052572026411994
StatusSub,-0.9417139014463418,0.48418283906020515,-1.9449551398273441,0.15788974265472788,Fezf1.GLU_3,0.1579,-2.1182022764167208,0.23477447352403735
SexMale:StatusSub,1.4478570466539091,0.6376592635773327,2.2705810600653478,0.07531728727111076,Fezf1.GLU_3,0.113,-0.10155497349747478,2.997269066805293
SexMale,-0.4434567192471762,0.15552774669913827,-2.8513029260626026,0.01495105518262796,Vipr2.GABA_2,0.0449,-0.8190807934345289,-0.06783264505982356
StatusSub,0.23351225136224787,0.16462171266694398,1.4184778397651618,0.3883319955071156,Vipr2.GABA_2,0.5825,-0.1640751870469002,0.631099689771396
SexMale:StatusSub,0.10364844047331573,0.23388973464556764,0.4431508746221066,0.965679644451562,Vipr2.GABA_2,0.9657,-0.46123221203249026,0.6685290929791217
SexMale,-0.7923157870285772,0.29178028198257566,-2.715453496874378,0.020483606848342384,Caprin2.GLU_6,0.0205,-1.490249993650222,-0.09438158040693245
StatusSub,0.9252149914460436,0.2261685998991751,4.090819821400937,1.2010574275844732e-4,Caprin2.GLU_6,4e-4,0.38422297765812974,1.4662070052339575
SexMale:StatusSub,1.0284684918792957,0.3477666864842015,2.957351959949785,0.009280643468028815,Caprin2.GLU_6,0.0139,0.19661561692976792,1.8603213668288234
SexMale,-1.5680022254030033,0.29427461185714004,-5.3283639234369735,2.3777315849571323e-7,Gpr149.GLU_3,0,-2.2851550539067196,-0.850849396899287
StatusSub,-0.554484386676902,0.2728139016921968,-2.0324638269442032,0.1325024064205954,Gpr149.GLU_3,0.1325,-1.219337056157865,0.11036828280406075
SexMale:StatusSub,1.4914348642677346,0.4241935621500088,3.5159299841997935,0.0015084732661128086,Gpr149.GLU_3,0.0023,0.457667081824342,2.5252026467111275
SexMale,-2.0412587315981465,0.6128867241569533,-3.330564443871692,0.0028439968761717616,Pmch.GLU_7,0.0043,-3.510768646694223,-0.5717488165020697
StatusSub,1.3901796512801683,0.26035882070503275,5.33947591065155,1.8717164684822762e-7,Pmch.GLU_7,0,0.7659209531740108,2.014438349386326
SexMale:StatusSub,0.16736766459741476,0.6965345686062443,0.2402862286251134,0.995246985452091,Pmch.GLU_7,0.9952,-1.5027035156553352,1.8374388448501646
SexMale,-0.5537205177195121,0.3124977549542501,-1.7719183864235353,0.20897063998145082,Satb2.GABA_6,0.6269,-1.307083963577138,0.1996429281381138
StatusSub,0.3255802924278941,0.3072670756279323,1.0596003224964368,0.623263009269482,Satb2.GABA_6,0.7158,-0.41517313451286664,1.0663337193686548
SexMale:StatusSub,0.40734429157996366,0.4397477655389595,0.9263134994687652,0.7158029273213362,Satb2.GABA_6,0.7158,-0.6527909788418127,1.46747956200174
SexMale,-0.799979385029577,0.300333139648241,-2.6636400697123745,0.024950933108821127,Sst.GABA_4,0.0374,-1.5213894235602443,-0.07856934649890968
StatusSub,1.3022557309991538,0.2145131570830858,6.070749919058628,2.601971083038279e-9,Sst.GABA_4,0,0.786988101533108,1.8175233604651995
SexMale:StatusSub,-0.7251118190294726,0.3885005281929053,-1.8664371510697844,0.16928340261845043,Sst.GABA_4,0.1693,-1.6583028126743524,0.20807917461540715
SexMale,-0.6550505459460243,0.2624047583518789,-2.4963363852861855,0.04093004983526172,Lhx1.GABA_2,0.1228,-1.288866068662057,-0.0212350232299916
StatusSub,0.44719435471556296,0.2415072626766385,1.8516807724922344,0.1802784938583062,Lhx1.GABA_2,0.2704,-0.1361451125049476,1.0305338219360736
SexMale:StatusSub,0.10038081125916902,0.3684866916365527,0.2724136679491726,0.9938231909107454,Lhx1.GABA_2,0.9938,-0.7896662539710066,0.9904278764893446
SexMale,0.3720787293537904,0.19756161879359907,1.8833553380756445,0.1596659339517047,Cd40.GLU_3,0.479,-0.10037447169333125,0.844531930400912
StatusSub,-0.06113058637078939,0.2808681057578876,-0.21764872948402636,0.9962678443029842,Cd40.GLU_3,0.9963,-0.7328047528797694,0.6105435801381907
SexMale:StatusSub,0.28099621388832813,0.33341123437190134,0.8427916786238006,0.7512313679342681,Cd40.GLU_3,0.9963,-0.5163307462063143,1.0783231739829704
SexMale,1.0051684979432396,0.22423613588037417,4.482633871640913,1.5621720318215182e-5,Chat.GABA_7,0,0.47011058893551616,1.540226406950963
StatusSub,0.16451460941715354,0.32901013811492913,0.5000289971602202,0.9387434391981926,Chat.GABA_7,0.9387,-0.6205483147675107,0.9495775336018178
SexMale:StatusSub,-1.3464878958439264,0.4189559977308679,-3.2139124469794402,0.004339151675181396,Chat.GABA_7,0.0065,-2.3461738707739928,-0.34680192091386
