contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.sub_types
female.sub.data - male.sub.data,-0.27410324502993977,0.14232655054849278,-1.925875699042876,0.2171,Lhx8.GABA_1
male.dom.data - male.sub.data,1.2298361628945536,0.08923637079859763,13.781781485379286,0,Lhx8.GABA_1
female.dom.data - female.sub.data,-0.5713122532161407,0.2358458828351523,-2.4223965512913668,0.0729,Hmcn1.GABA_1
female.dom.data - male.dom.data,0.027688507558853485,0.2212064227281856,0.1251704503755599,0.9993,Hmcn1.GABA_1
female.dom.data - male.sub.data,-0.14226175743255193,0.22135116302558533,-0.6426971310564485,0.9181,Hmcn1.GABA_1
female.sub.data - male.dom.data,0.5990007607749941,0.23954656826725568,2.500560809982905,0.0598,Hmcn1.GABA_1
female.sub.data - male.sub.data,0.4290504957835887,0.23968023340525493,1.790095452127434,0.278,Hmcn1.GABA_1
male.dom.data - male.sub.data,-0.16995026499140542,0.2252900692243354,-0.7543619901957388,0.8748,Hmcn1.GABA_1
female.dom.data - female.sub.data,-0.5362159173044143,0.13012637910474026,-4.120731868461565,2e-4,Lhx6.GABA_1
female.dom.data - male.dom.data,-0.25355841745676094,0.11202092438783262,-2.263491565012489,0.1067,Lhx6.GABA_1
female.dom.data - male.sub.data,-0.20407172147638852,0.1178502464241238,-1.7316189627806777,0.3072,Lhx6.GABA_1
female.sub.data - male.dom.data,0.28265749984765337,0.12572975638646175,2.248135270212686,0.1105,Lhx6.GABA_1
female.sub.data - male.sub.data,0.3321441958280258,0.1309502375810033,2.5364153739894344,0.0545,Lhx6.GABA_1
male.dom.data - male.sub.data,0.04948669598037242,0.11297689004533244,0.43802494439805945,0.9719,Lhx6.GABA_1
female.dom.data - female.sub.data,0.9417139014463419,0.4841828390602051,1.9449551398273446,0.2093,Fezf1.GLU_3
female.dom.data - male.dom.data,1.0600104159330057,0.3660667070003192,2.8956755576575324,0.0198,Fezf1.GLU_3
female.dom.data - male.sub.data,0.5538672707254377,0.3248025431632889,1.7052430234420626,0.3209,Fezf1.GLU_3
female.sub.data - male.dom.data,0.11829651448666378,0.5487373181957338,0.21557949598840223,0.9965,Fezf1.GLU_3
female.sub.data - male.sub.data,-0.3878466307209042,0.5221154110461868,-0.7428369715112565,0.8797,Fezf1.GLU_3
male.dom.data - male.sub.data,-0.506143145207568,0.41494133896923985,-1.219794456886083,0.6142,Fezf1.GLU_3
female.dom.data - female.sub.data,-0.23351225136224737,0.16462171266694406,-1.418477839765158,0.4877,Vipr2.GABA_2
female.dom.data - male.dom.data,0.4434567192471777,0.15552774669913838,2.85130292606261,0.0226,Vipr2.GABA_2
female.dom.data - male.sub.data,0.10629602741161333,0.1486937087677831,0.7148656677709023,0.8912,Vipr2.GABA_2
female.sub.data - male.dom.data,0.6769689706094251,0.1805397157011604,3.7496955613355603,0.001,Vipr2.GABA_2
female.sub.data - male.sub.data,0.3398082787738607,0.174686942784121,1.9452414322334182,0.2092,Vipr2.GABA_2
