p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity
4.4662695646125547e-10,0.8238440090131107,0.226,0.131,9.722175588248608e-6,5,Ndst3,1.4212881376867406
5.434931813055127e-10,0.5423729148403542,0.476,0.35,1.1830759570658402e-5,5,Gm36975,0.7376271641828818
7.71321564355847e-10,1.2796875286099305,0.102,0.043,1.6790127812898076e-5,5,Gm7580,3.0355378585630914
7.855604455602215e-10,1.2498209098620938,0.102,0.043,1.7100079778954902e-5,5,Cntnap3,2.9646914606031065
8.137461235032989e-10,0.8115060818555555,0.238,0.141,1.771362561641981e-5,5,Gm16168,1.3697762232739163
1.0323342459131283e-9,0.40726463562678317,0.491,0.372,2.2471851865036975e-5,5,Sgcd,0.5375455271310497
1.1067297626573156e-9,0.38131922903089815,0.622,0.477,2.4091293473524447e-5,5,A230006K03Rik,0.4972338793652383
1.2829951557429176e-9,0.5624507833753414,0.278,0.171,2.7928238550211832e-5,5,Hs3st5,0.9143936712183912
1.2879320715642408e-9,0.9604471803419494,0.19,0.106,2.8035705333810393e-5,5,Kcnh8,1.721556266650664
1.487809773653594e-9,0.3368497096784772,0.722,0.602,3.2386643152891436e-5,5,Cadm1,0.4039958312090707
1.8465950189213891e-9,0.1829974859196779,0.902,0.774,4.0196680371880796e-5,5,Ctnna2,0.21326063604592954
1.8545723047945095e-9,0.9724096176991233,0.184,0.102,4.0370329930766885e-5,5,Tcerg1l,1.7541506829082223
1.864034808763663e-9,-0.7595513661300539,0.236,0.361,4.057630971716742e-5,5,Gria3,-0.4965488155310048
1.9761977736083104e-9,0.692381087420475,0.311,0.204,4.30178731359057e-5,5,Mtus2,1.055541755822391
1.995180847445807e-9,0.6975335751860781,0.286,0.182,4.3431096687200324e-5,5,Ammecr1,1.0961241895781226
2.0432183626818937e-9,-0.4422203438284703,0.674,0.746,4.447677731885946e-5,5,Rps8,-0.3995395599737118
2.053286097227313e-9,0.5141397642946159,0.468,0.346,4.469593176444415e-5,5,Akap8l,0.6954260395661279
2.268252315359401e-9,-1.9356501351925672,0.035,0.121,4.9375316400743436e-5,5,Reln,-0.5598987994358666
2.6922683936617564e-9,-1.7114886210030629,0.046,0.136,5.860529839322912e-5,5,Nell1os,-0.5788858571039771
2.7164078072762197e-9,0.4780273101128738,0.518,0.399,5.913076514878875e-5,5,Ppp1r9a,0.6205968587430292
2.799908076847471e-9,0.9065995773112232,0.192,0.108,6.094839901681575e-5,5,Gm40841,1.611732581886619
3.0222547849036807e-9,0.7572222482398936,0.248,0.152,6.578844215778332e-5,5,Gm15414,1.2354678787071949
3.0463336542003728e-9,-0.9883649519904878,0.161,0.276,6.631259098463372e-5,5,Elavl2,-0.5765462219944512
3.083399684955668e-9,-1.3466790321678137,0.075,0.173,6.711944434211499e-5,5,Sox5,-0.5838203896681273
3.1241558513710626e-9,1.0070411818437983,0.155,0.082,6.80066245726453e-5,5,Glp2r,1.9035534534852285
3.1297134048082104e-9,0.3356188674358696,0.731,0.612,6.812760139586512e-5,5,Cadps,0.4008780916595109
3.3862098456441765e-9,-0.8171158480092213,0.177,0.296,7.371101591998243e-5,5,Zeb1,-0.48861319289740596
3.451532509752964e-9,0.1192904146243324,0.67,0.522,7.513295967230252e-5,5,Phactr1,0.15311221800441133
3.523251552240117e-9,0.22525020699676956,0.823,0.703,7.669413978916286e-5,5,Negr1,0.26369974446421246
