Predictor,Estimate,Std.error,z.value,p.value,neuron.np,p.adjust.fdr,lwr,upr
SexMale:StatusSub,-1.7908291320274838,1.0244322739806437,-1.74811861897795,0.16771403552576225,Cck,0.2516,-4.149510471498301,0.5678522074433332
SexMale,0.7019216778890324,0.17844985193076782,3.9334393965277874,2.3460990591306352e-4,Sst,2e-4,0.2805426766595247,1.12330067911854
StatusSub,1.1897397108437218,0.19157068038968353,6.210447801425628,8.391793926421087e-10,Sst,0,0.7373781028398101,1.6421013188476334
SexMale:StatusSub,-1.1218712079160338,0.2452067997329002,-4.575204313820294,9.026500391584591e-6,Sst,0,-1.700885397326624,-0.5428570185054434
SexMale,19.631144123702693,10860.5686253881,0.0018075613534462777,0.9999971635396897,Npff,1,-23647.386716911828,23686.64900515923
StatusSub,20.442586241645067,10860.56862540775,0.0018822758684863582,0.9999969200820296,Npff,1,-23646.575274836705,23687.460447319998
SexMale:StatusSub,-39.86567289593758,15376.02425023497,-0.0025927165727075625,0.9999941006799685,Npff,1,-33546.82586201057,33467.09451621869
SexMale,2.2477454384004436,0.7457938010849494,3.0138966496242237,0.006664272923113113,Npy,0.02,0.5348128875087457,3.9606779892921415
StatusSub,1.2631484124779375,0.9134616330655544,1.3828149609730658,0.31447925200943494,Npy,0.3145,-0.8348821195436742,3.3611789444995495
SexMale:StatusSub,-2.043515302085055,1.0166476228759738,-2.0100527027291877,0.09645555008145446,Npy,0.1447,-4.378542495228168,0.2915118910580583
SexMale,0.05666757955742254,25249.532154448836,2.244302160166481e-6,1,Calca,1,-57786.39486744752,57786.50820260663
StatusSub,21.442586231164956,17906.050559955234,0.001197505064523763,0.9999999979044094,Calca,1,-40958.608708869135,41001.49388133146
SexMale:StatusSub,-21.29119635179097,30976.99444761828,-6.873228578645396e-4,0.9999999996093,Calca,1,-70915.69737380245,70873.11498109886
SexMale,-20.52944641494337,17802.028799103227,-0.0011532082464655678,0.9999999999987612,Iapp,1,-43920.16930253456,43879.11040970468
StatusSub,-19.737202754449097,17969.903683724686,-0.0010983477208241828,0.9999999999989806,Iapp,1,-44333.35498571244,44293.88058020354
SexMale:StatusSub,19.888592633820355,31013.948100099526,6.412789680832841e-4,0.9999999999998815,Iapp,1,-76460.22316739993,76500.00035266759
SexMale,0.05666759008486111,25249.53210406235,2.244302581581065e-6,1,Nppc,1,-57786.427429038995,57786.540764219164
StatusSub,21.442586241690496,17906.050488904886,0.0011975050698632258,0.9999999979041894,Nppc,1,-40958.63171953383,41001.51689201721
SexMale:StatusSub,-21.291196362320377,30976.994406548252,-6.87322859115719e-4,0.9999999996093046,Nppc,1,-70915.73736898547,70873.15497626083
SexMale,18.32463253399713,3995.379964914245,0.004586455529866091,0.9964905108575047,Grp,0.9966,-7813.923631250112,7850.572896318105
StatusSub,18.44258623267978,3995.3800275399217,0.004615977980957032,0.9964682109658903,Grp,0.9966,-7813.805800318187,7850.690972783546
SexMale:StatusSub,-17.581080983913207,3995.3801214915807,-0.004400352519486863,0.9966303073013143,Grp,0.9966,-7849.829651710685,7814.667489742858
SexMale,0.0566675816242637,25249.53199557999,2.2443022561441353e-6,1,Nmb,1,-59710.944612723906,59711.05794788715
StatusSub,0.8489112421211847,25368.170510204047,3.346363671671633e-5,0.9999999999999777,Nmb,1,-59990.71299489405,59992.410817378295
SexMale:StatusSub,19.893053700216818,30991.229475402833,6.418930141511672e-4,0.9999999997846505,Nmb,1,-73269.2809083344,73309.06701573484
SexMale,0.056667603571025606,25249.532141086176,2.2443031124056264e-6,1,Edn3,1,-59561.18658570554,59561.29992091269
StatusSub,0.8489112640672933,25368.17065501112,3.3463637390802676e-5,0.9999999999999777,Edn3,1,-59840.25130523988,59841.94912776801
SexMale:StatusSub,19.89305367826927,30991.229593949727,6.418930109876278e-4,0.9999999997822435,Edn3,1,-73085.46803777626,73125.2541451328
SexMale,1.3012593461840594,0.5675341222359389,2.292830149238307,0.05463707559496245,Vip,0.1398,-0.021018955830247155,2.623537648198366
StatusSub,1.264806030563143,0.6463446277783864,1.9568601272521287,0.1171374671263975,Vip,0.1398,-0.24109016748003698,2.770702228606323
SexMale:StatusSub,-1.4345979677236478,0.7680738945195852,-1.8677863913353807,0.13979697667966917,Vip,0.1398,-3.2241070126875697,0.35491107724027415
