term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.genes,EffectType
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,12,470,Female,Sub,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,148,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,2,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,0,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,398,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,3,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,59,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,6,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,116,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,94,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,77,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,154,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,31,767,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,306,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,6,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,0,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,724,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,12,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,69,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,18,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,139,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,104,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,132,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,310,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,37,1261,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,164,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,0,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,1,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,493,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,72,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,8,904,Male,Dom,Ar,MER
