term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.clusters,EffectType
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,16,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,5,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,0,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,178,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,216,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,58,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,20,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,32,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,237,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,25,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,86,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,73,1119,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,80,1119,Female,Dom,cluster_9,MER
